index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,7,-6.165018057051341,0.49134874,0.66338843,0.23599587,0.44008422
1,24,128,2,512,7,0.4398015516314274,0.27204204,0.3888424,0.08161553,0.15119842
2,24,128,2,512,7,-1.7020184841562171,0.4569783,0.6195151,0.19747207,0.38379905
3,24,128,2,512,7,0.608935239009543,0.26495966,0.36304656,0.10239476,0.1318028
4,24,128,2,512,7,-0.33557722728296646,0.37422547,0.49622512,0.17531918,0.24623938
5,24,128,2,512,7,-1.5655299242567655,0.50709933,0.6862477,0.2673231,0.4709359
6,24,128,2,512,7,-5.416837906100537,0.58302414,0.76144767,0.29447773,0.5798025
7,24,128,2,512,7,0.22028704553571266,0.31338218,0.43217206,0.113522395,0.1867727
8,24,128,2,512,7,-48.12275505194411,0.57808113,0.75305355,0.2769294,0.5670896
9,24,128,2,512,7,-3.105480560074886,0.4678117,0.6174635,0.24157509,0.38126123
10,24,128,2,512,7,0.8191415962350681,0.1955526,0.28124878,0.06243777,0.07910088
11,24,128,2,512,7,0.6993570444878413,0.23743682,0.3266828,0.08912218,0.10672165
12,24,128,2,512,7,-2.176896830908298,0.51155204,0.697804,0.23614202,0.4869304
13,24,128,2,512,7,0.013065275092078221,0.34189418,0.45990077,0.13927893,0.21150872
14,24,128,2,512,7,-1.024762543939533,0.42922053,0.5885277,0.15453154,0.34636483
15,24,128,2,512,7,-2.104564627211499,0.47039196,0.5938774,0.26286355,0.35269037
16,24,128,2,512,7,-3.122662041440905,0.461421,0.6131282,0.22782794,0.37592617
17,24,128,2,512,7,-1.230083298171106,0.4320939,0.5745317,0.21459697,0.33008665
18,24,128,2,512,7,-2.191319499915103,0.5770358,0.74289584,0.23864026,0.55189425
19,24,128,2,512,7,-2.2865106420443873,0.4854272,0.66207397,0.16955547,0.438342
20,24,128,2,512,7,0.56560586051758,0.2768841,0.36822692,0.086323366,0.13559105
21,24,128,2,512,7,0.3224141147243216,0.30617204,0.41560355,0.09011595,0.17272635
22,24,128,2,512,7,-0.7700354057041834,0.359185,0.47864386,0.1380969,0.22909994
23,24,128,2,512,7,-1.4429264886944826,0.4296242,0.59406286,0.20188828,0.3529107
24,24,128,2,512,7,-1.9995104503039935,0.4864718,0.6510029,0.21044928,0.4238048
25,24,128,2,512,7,0.4982010171865573,0.23868905,0.33249488,0.05926046,0.110552855
26,24,128,2,512,7,0.46362492102393305,0.28163734,0.39234155,0.10069722,0.15393189
27,24,128,2,512,7,-3.143210766658923,0.5132786,0.6918079,0.16716328,0.4785982
28,24,128,2,512,7,-59.80749879931515,0.9323047,1.1270347,0.66383976,1.2702072
29,24,128,2,512,7,-2.4379369482880526,0.4596337,0.6219934,0.22018565,0.38687584
