index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,3,-0.8764109149497241,0.4431819,0.6026299,0.21209961,0.36316285
1,24,128,2,512,3,-4.713918406764886,0.53630424,0.72551787,0.31843844,0.5263762
2,24,128,2,512,3,-0.4725287581446045,0.42985773,0.5848556,0.1925798,0.34205613
3,24,128,2,512,3,0.9024621989324858,0.13632515,0.19910379,0.022107499,0.039642315
4,24,128,2,512,3,0.6802924457822199,0.23183058,0.32229626,0.0604482,0.10387489
5,24,128,2,512,3,0.7615207150854434,0.25316983,0.32218215,0.046377134,0.10380133
6,24,128,2,512,3,0.2908730660191886,0.28157973,0.38494232,0.07545148,0.14818059
7,24,128,2,512,3,-1.807842586031533,0.47719213,0.6503268,0.21307305,0.4229249
8,24,128,2,512,3,-1.4366570087594344,0.48196748,0.6484213,0.14481297,0.42045015
9,24,128,2,512,3,0.8694445544456808,0.1637075,0.23212588,0.040241532,0.053882424
10,24,128,2,512,3,-1.2153862352635398,0.4364431,0.58987474,0.14769061,0.34795225
11,24,128,2,512,3,-1.033609437712045,0.3985266,0.5619401,0.13454238,0.31577662
12,24,128,2,512,3,-0.6009662094547821,0.42268988,0.5753471,0.19161975,0.33102438
13,24,128,2,512,3,0.6639691381551461,0.24657194,0.33070675,0.103056945,0.109366946
14,24,128,2,512,3,-2.2392171330261332,0.45457628,0.6138909,0.19151564,0.376862
15,24,128,2,512,3,-0.16363672607851498,0.40333858,0.5492607,0.15660776,0.30168736
16,24,128,2,512,3,-2.1446743686029786,0.44996634,0.60894537,0.2323737,0.37081447
17,24,128,2,512,3,-1.6934865121523708,0.4194215,0.566828,0.19724582,0.32129398
18,24,128,2,512,3,-1.4873049601137787,0.4589329,0.62002236,0.22758563,0.3844277
19,24,128,2,512,3,0.7085154441957282,0.24925674,0.33606184,0.06467217,0.11293756
20,24,128,2,512,3,-1.0465751563671817,0.39671043,0.5626417,0.124232955,0.31656563
21,24,128,2,512,3,0.8460337619771534,0.15667123,0.2265481,0.040668547,0.051324043
22,24,128,2,512,3,0.5163529794373656,0.29187983,0.39510125,0.091696545,0.156105
23,24,128,2,512,3,-1.0573134604384267,0.41420615,0.5711408,0.18650004,0.32620192
24,24,128,2,512,3,-2.2939865192450486,0.46142426,0.6331851,0.16638045,0.4009233
25,24,128,2,512,3,-1.5503803944516017,0.40427473,0.55680245,0.15116547,0.31002894
26,24,128,2,512,3,0.744426857255346,0.20271808,0.29302782,0.04840338,0.0858653
27,24,128,2,512,3,-2.3893747207249563,0.4804432,0.65533996,0.22574323,0.42947042
28,24,128,2,512,3,0.3679710913923223,0.30153158,0.41697454,0.12684697,0.17386776
29,24,128,2,512,3,-0.9861100662114384,0.44088086,0.60161674,0.18604831,0.36194268
