index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,5,-1.7161965776546206,0.45131132,0.6003893,0.18619491,0.36046726
1,24,128,2,512,5,-1.1878508449414231,0.46679723,0.637955,0.17955174,0.40698656
2,24,128,2,512,5,-1.685756319350829,0.44390333,0.612628,0.16492027,0.37531304
3,24,128,2,512,5,-1.8428505011701706,0.47082484,0.6371494,0.222589,0.40595937
4,24,128,2,512,5,0.8089355593309224,0.18857476,0.26696122,0.07321263,0.0712683
5,24,128,2,512,5,0.04298360677000379,0.3529956,0.45891282,0.15919928,0.21060097
6,24,128,2,512,5,0.8988779847635566,0.14201806,0.20770237,0.026646405,0.043140274
7,24,128,2,512,5,-3.0559371299010776,0.48573434,0.66116136,0.28310573,0.4371344
8,24,128,2,512,5,0.83648309927862,0.18667527,0.25808808,0.054345816,0.06660947
9,24,128,2,512,5,0.6221799744778229,0.29115552,0.36198038,0.04447242,0.13102981
10,24,128,2,512,5,-1.4929112484140226,0.40210393,0.5572824,0.15521558,0.31056365
11,24,128,2,512,5,-0.356844280602272,0.35618022,0.4874658,0.119951256,0.23762292
12,24,128,2,512,5,-1.764128392700472,0.44861734,0.6090626,0.20188369,0.3709573
13,24,128,2,512,5,-5.353858941003693,0.55530006,0.7424106,0.25563383,0.5511735
14,24,128,2,512,5,-1.320510363166001,0.45284146,0.60860753,0.25647616,0.3704031
15,24,128,2,512,5,-1.737035466075484,0.43814373,0.59515285,0.19013546,0.35420695
16,24,128,2,512,5,-2.1308011917399177,0.5186434,0.70060366,0.13877259,0.4908456
17,24,128,2,512,5,-1.7862308272938892,0.4916916,0.66696084,0.17043553,0.44483674
18,24,128,2,512,5,0.8252716777278095,0.18466273,0.26116368,0.04089081,0.06820646
19,24,128,2,512,5,-0.16327890444810356,0.3637993,0.4930835,0.15256135,0.2431313
20,24,128,2,512,5,-1.3806589967565204,0.4714174,0.6467529,0.17449333,0.4182893
21,24,128,2,512,5,0.7984923934718199,0.20427938,0.28634927,0.059112657,0.081995904
22,24,128,2,512,5,-2.391839918846536,0.49273834,0.661766,0.22370839,0.43793422
23,24,128,2,512,5,-1.0067716120024617,0.3939747,0.5360673,0.16960634,0.28736812
24,24,128,2,512,5,0.6585112671189626,0.2208499,0.30435818,0.038311552,0.092633896
25,24,128,2,512,5,0.025404371347594767,0.3426104,0.46567032,0.10987557,0.21684887
26,24,128,2,512,5,-0.398747355317844,0.356446,0.49747378,0.112333916,0.24748015
27,24,128,2,512,5,-1.7226436861265335,0.48670158,0.6763455,0.2499237,0.4574432
28,24,128,2,512,5,-5.559645619137779,0.49684224,0.67361194,0.21809986,0.45375302
29,24,128,2,512,5,-0.44634698221350844,0.39927572,0.53622675,0.15728909,0.28753915
